# x, y, z
7.116308005193434016e-04 3.745638348557794178e-02 2.807019095596643976e-02
1.159162859700584025e-02 -7.595001820242853335e-03 -1.130029244238978711e-03
-1.422853449281848842e-02 -2.648199107156472623e-02 -2.544835306987502585e-02
4.233800133001548033e-02 -2.029267777166179551e-02 1.246817761298636001e-02
-6.083810466858428911e-03 4.428277614705546095e-02 -7.012872694286874375e-02
9.661098300200577846e-03 3.952925764071370252e-02 -4.834197927735451455e-02
-3.115852499914603668e-02 -7.098953460262582248e-03 8.564161255220911761e-02
1.668567422024957655e-02 -3.402986703663664347e-02 1.218770293854761766e-01
4.056411780234125963e-02 -1.515217704410376856e-02 -8.814990307714437590e-02
-3.426607076490082587e-02 2.478463569929076349e-03 2.221445833206955531e-02
-1.355546168430218218e-02 -3.709036160947413313e-02 -1.222961981241410812e-01
8.730047245572638073e-03 -3.950724722360655222e-02 -3.316755317814833876e-02
1.541088743294240920e-02 2.243378298564259118e-02 1.599654538919014213e-01
-1.492465184153936135e-02 4.318925023618114256e-02 -6.475543807418919495e-02
-2.051540605180367238e-02 3.969939876241656944e-03 -6.914869036545018451e-03
4.525419896433987947e-03 2.606522684249711411e-02 -5.776408210171544294e-02
-3.959494921668604839e-02 2.060106658656483004e-03 -4.823398600518283980e-02
-1.711872743633786539e-02 -1.203960347559476611e-02 -9.614544438867318743e-02
-1.715417989244269817e-02 2.571167647345798044e-02 5.111363781388644778e-02
2.585952130110346844e-03 4.412268672581870846e-03 1.566037855096396869e-01
-1.346069004631074428e-02 1.248620895275636029e-02 -1.333383286347246954e-01
-6.636111922328574719e-03 2.290392574868843623e-02 1.500605520995711706e-01
1.937365744142707097e-02 2.308717495714758799e-03 -3.291397638461289465e-02
1.971463967344728313e-02 -1.252779317656754245e-02 -1.757447078396131845e-01
2.697724518656735050e-03 -2.818614087994830708e-02 -8.142108664785169259e-02
1.620075134010364251e-02 -2.210095566917524151e-02 1.695320904267063819e-02
-5.826544454492919335e-03 -4.644463192945177954e-02 -4.102947361160488686e-03
-3.220964828480391701e-02 9.871352148533761584e-03 -3.262599947618715496e-02
2.359466034823029870e-02 -2.325389266881212544e-02 -1.013489071406356579e-01
8.260151676098585402e-03 -1.790030851093803166e-02 7.368420208574162633e-02
-7.350878956400898508e-03 -8.414647661318046257e-03 5.729123145845545217e-02
-5.625593615502371206e-03 -2.503240730219111632e-03 9.045520139441222407e-02
9.754801792572321368e-04 3.922170001670298445e-02 -1.018671508313750279e-02
2.839069730953775600e-02 1.957527439149023274e-02 -8.690488551808131512e-02
-3.353301029392749544e-02 6.793909412173494873e-03 3.589819589258829574e-02
4.595371232575265474e-02 -1.024089147501935741e-04 3.565445968644605917e-02
-1.203112672651125009e-02 -1.881496079732009052e-02 -1.143433007101028916e-02
-7.995608580732024503e-03 -2.335456777447479648e-02 7.345139361672610445e-02
2.867700603714573929e-03 -2.118477834367705689e-02 1.668627915164860032e-01
1.780643146258182805e-02 -1.342340097461859616e-02 1.312306227384944790e-01
-1.595309188506707082e-02 3.080457901081046918e-02 4.575668842777376455e-02
1.117445159732379564e-03 -2.488992122548339472e-02 -1.347762492142275670e-01
1.784347136327054870e-02 -2.777818807087159211e-02 5.949243517903442247e-02
-8.545341573309753972e-04 2.929756533176413810e-02 9.747702271626994264e-02
4.470205280506687421e-04 -1.077573975712275978e-02 1.056712747989241828e-02
-1.816089663337649984e-02 3.753281738646966487e-02 -4.138891173850324512e-02
-2.297882121205685468e-02 -2.446751111044561527e-02 1.537589930343389970e-02
-7.983533656414174007e-03 2.247835847152225563e-02 1.385606717095754226e-01
-2.084331995716603991e-02 -4.222395838173104154e-02 3.674098079454529101e-03
-2.407422194544422966e-02 -2.462773409653744652e-03 8.958049322576078222e-02
1.165809613041475512e-02 -1.334981745458803208e-02 -1.492220982212825453e-01
-3.221266006245081942e-02 -9.131630810128769579e-03 8.293156096398229815e-02
3.549793399625264176e-03 -1.048095541563724871e-02 -1.861398557598205328e-01
-1.283753659740451830e-02 -2.921725019292602255e-02 3.914884085922448048e-02
1.031934427709646322e-02 1.902356876884658821e-02 -1.781745799079276771e-01
2.820656047771917768e-04 -3.256696051875040271e-02 5.979349730038888144e-02
-4.170641498024474370e-02 1.600122600405879877e-02 4.218214435061019146e-02
-1.279400375603059574e-02 1.290750274327657869e-02 4.434983217561346003e-02
-3.998246896404563516e-02 -3.021157892941271281e-03 -4.304814560848499450e-02
1.443809705501393481e-02 1.675976793822355967e-02 6.352887581182807553e-02
1.599771502586440353e-02 -3.393757460220771932e-02 2.070053019540587982e-03
2.176763245011044401e-02 3.378731766689117844e-02 -9.259691523036731042e-02
1.313154787626800470e-02 1.321787970282715420e-02 -1.797978667376273210e-01
-2.411276569521542817e-02 4.758803269655064588e-04 1.203852763454331676e-01
3.848753162813032484e-03 1.001241142610678758e-02 -1.066954894631204631e-01
3.365778025301525284e-02 1.145564365596120349e-02 1.363584592675305684e-01
-1.122003687059605626e-02 2.862122534946376015e-02 4.025047886943036723e-02
1.805815782588685026e-02 1.004256499740651667e-03 -1.925713204312680046e-02
-2.081688762072259752e-02 1.725058344220193815e-02 -1.136819890687856827e-01
-6.171203988729685903e-03 -2.632843192400405319e-02 1.006594584769107681e-02
